tournId,name,start_date,end_date,weekNumber,format,purse,winner_share,fedex_points
016,The Sentry,2024-01-03 19:00:00,2024-01-06 19:00:00,1,stroke,20000000,3600000.0,700.0
006,Sony Open in Hawaii,2024-01-10 19:00:00,2024-01-13 19:00:00,2,stroke,8300000,1494000.0,500.0
002,The American Express,2024-01-17 19:00:00,2024-01-20 19:00:00,3,stroke,8400000,,500.0
004,Farmers Insurance Open,2024-01-23 19:00:00,2024-01-26 19:00:00,4,stroke,9000000,1620000.0,500.0
005,AT&T Pebble Beach Pro-Am,2024-01-31 19:00:00,2024-02-03 19:00:00,5,stroke,20000000,3600000.0,700.0
003,WM Phoenix Open,2024-02-07 19:00:00,2024-02-10 19:00:00,6,stroke,8800000,1584000.0,500.0
007,The Genesis Invitational,2024-02-14 19:00:00,2024-02-17 19:00:00,7,stroke,20000000,4000000.0,700.0
540,Mexico Open at Vidanta,2024-02-21 19:00:00,2024-02-24 19:00:00,8,stroke,8100000,1458000.0,500.0
010,Cognizant Classic in The Palm Beaches,2024-02-28 19:00:00,2024-03-02 19:00:00,9,stroke,9000000,1620000.0,500.0
009,Arnold Palmer Invitational presented by Mastercard,2024-03-06 19:00:00,2024-03-09 19:00:00,10,stroke,20000000,4000000.0,700.0
483,Puerto Rico Open,2024-03-06 19:00:00,2024-03-09 19:00:00,10,stroke,4000000,720000.0,300.0
011,THE PLAYERS Championship,2024-03-13 20:00:00,2024-03-16 20:00:00,11,stroke,25000000,4500000.0,750.0
475,Valspar Championship,2024-03-20 20:00:00,2024-03-23 20:00:00,12,stroke,8400000,1512000.0,500.0
020,Texas Children's Houston Open,2024-03-27 20:00:00,2024-03-30 20:00:00,13,stroke,9100000,1638000.0,500.0
041,Valero Texas Open,2024-04-03 20:00:00,2024-04-06 20:00:00,14,stroke,9200000,1656000.0,500.0
014,Masters Tournament,2024-04-10 20:00:00,2024-04-13 20:00:00,15,stroke,20000000,3600000.0,750.0
012,RBC Heritage,2024-04-17 20:00:00,2024-04-20 20:00:00,16,stroke,20000000,3600000.0,700.0
522,Corales Puntacana Championship,2024-04-17 20:00:00,2024-04-20 20:00:00,16,stroke,4000000,720000.0,300.0
018,Zurich Classic of New Orleans,2024-04-24 20:00:00,2024-04-27 20:00:00,17,team,8900000,1286050.0,400.0
019,THE CJ CUP Byron Nelson,2024-05-01 20:00:00,2024-05-04 20:00:00,18,stroke,9500000,1710000.0,500.0
480,Wells Fargo Championship,2024-05-08 20:00:00,2024-05-11 20:00:00,19,stroke,20000000,3600000.0,700.0
553,Myrtle Beach Classic,2024-05-08 20:00:00,2024-05-11 20:00:00,19,stroke,4000000,720000.0,300.0
033,PGA Championship,2024-05-15 20:00:00,2024-05-18 20:00:00,20,stroke,0,3330000.0,750.0
021,Charles Schwab Challenge,2024-05-22 20:00:00,2024-05-25 20:00:00,21,stroke,9100000,1638000.0,500.0
032,RBC Canadian Open,2024-05-29 20:00:00,2024-06-01 20:00:00,22,stroke,9400000,1692000.0,500.0
023,the Memorial Tournament presented by Workday,2024-06-05 20:00:00,2024-06-08 20:00:00,23,stroke,20000000,4000000.0,700.0
026,U.S. Open,2024-06-12 20:00:00,2024-06-15 20:00:00,24,stroke,0,4300000.0,750.0
034,Travelers Championship,2024-06-19 20:00:00,2024-06-22 20:00:00,25,stroke,20000000,3600000.0,700.0
524,Rocket Mortgage Classic,2024-06-26 20:00:00,2024-06-29 20:00:00,26,stroke,9200000,1656000.0,500.0
030,John Deere Classic,2024-07-03 20:00:00,2024-07-06 20:00:00,27,stroke,8000000,1440000.0,500.0
541,Genesis Scottish Open,2024-07-10 20:00:00,2024-07-13 20:00:00,28,stroke,9000000,1575000.0,500.0
518,ISCO Championship,2024-07-10 20:00:00,2024-07-13 20:00:00,28,stroke,4000000,720000.0,300.0
100,The Open Championship,2024-07-17 20:00:00,2024-07-20 20:00:00,29,stroke,17000000,3100000.0,750.0
472,Barracuda Championship,2024-07-17 20:00:00,2024-07-20 20:00:00,29,stableford,4000000,720000.0,300.0
525,3M Open,2024-07-24 20:00:00,2024-07-27 20:00:00,30,stroke,8100000,1458000.0,500.0
519,Menâ€™s Olympic Golf Competition,2024-07-31 20:00:00,2024-08-03 20:00:00,31,stroke,0,,
013,Wyndham Championship,2024-08-07 20:00:00,2024-08-10 20:00:00,32,stroke,7900000,1422000.0,500.0
027,FedEx St. Jude Championship,2024-08-14 20:00:00,2024-08-17 20:00:00,33,stroke,20000000,3600000.0,2000.0
028,BMW Championship,2024-08-21 20:00:00,2024-08-24 20:00:00,34,stroke,20000000,3600000.0,2000.0
060,TOUR Championship,2024-08-28 20:00:00,2024-08-31 20:00:00,35,stroke,0,,
464,Procore Championship,2024-09-11 20:00:00,2024-09-14 20:00:00,37,stroke,6000000,1512000.0,500.0
500,Presidents Cup,2024-09-25 20:00:00,2024-09-28 20:00:00,39,team match,0,,
054,Sanderson Farms Championship,2024-10-02 20:00:00,2024-10-05 20:00:00,40,stroke,0,1476000.0,500.0
554,Black Desert Championship,2024-10-09 20:00:00,2024-10-12 20:00:00,41,stroke,0,,500.0
047,Shriners Children's Open,2024-10-16 20:00:00,2024-10-19 20:00:00,42,stroke,0,1512000.0,500.0
527,ZOZO CHAMPIONSHIP,2024-10-23 20:00:00,2024-10-26 20:00:00,43,stroke,0,1530000.0,500.0
457,World Wide Technology Championship,2024-11-06 19:00:00,2024-11-09 19:00:00,45,stroke,0,1476000.0,500.0
528,Butterfield Bermuda Championship,2024-11-13 19:00:00,2024-11-16 19:00:00,46,stroke,0,1170000.0,500.0
493,The RSM Classic,2024-11-20 19:00:00,2024-11-23 19:00:00,47,stroke,0,1512000.0,500.0
478,Hero World Challenge,2024-12-04 19:00:00,2024-12-07 19:00:00,49,stroke,5000000,1000000.0,
551,Grant Thornton Invitational,2024-12-11 19:00:00,2024-12-14 19:00:00,50,stroke,4000000,,
088,PGA TOUR Q-School presented by Korn Ferry,2024-12-11 19:00:00,2024-12-14 19:00:00,50,stroke,510000,50000.0,
